Province,Participant,Audio,Clip,question_s,question_e,Spanish
BO,P15BO,IW - P15BO clip 5.wav.mp3,clip 5,,,
BO,P15BO,IW - P15BO clip 6.wav.mp3,clip 6,,,
BO,P15BO,IW - P15BO clip 7.wav.mp3,clip 7,,,
BO,P15BO,IW - P15BO clip 8.wav.mp3,clip 8,,,
BO,P15BO,IW - P15BO clip 9.wav.mp3,clip 9,,,
CA,P15CA,IW - P15CA - clip 1.wav.mp3,clip 1,,,
CA,P15CA,IW - P15CA - clip 2.wav.mp3,clip 2,,,
CA,P15CA,IW - P15CA - clip 3.wav.mp3,clip 3,,,
CA,P15CA,IW - P15CA - clip 4.wav.mp3,clip 4,,,
CA,P15CA,IW - P15CA - clip 5.wav.mp3,clip 5,,,
CA,P15CA,IW - P15CA - clip 6.wav.mp3,clip 6,,,
CA,P15CA,IW - P15CA - clip 7.wav.mp3,clip 7,,,
CA,P15CA,IW - P15CA - clip 8.wav.mp3,clip 8,,,
CA,P15CA,IW - P15CA - clip 9.wav.mp3,clip 9,,,
MA,P15MA,IW - P15MA clip 1.wav.mp3,clip 1,,,
MA,P15MA,IW - P15MA clip 10.wav.mp3,clip 10,,,
MA,P15MA,IW - P15MA clip 11.wav.mp3,clip 11,,,
MA,P15MA,IW - P15MA clip 2.wav.mp3,clip 2,,,
MA,P15MA,IW - P15MA clip 3.wav.mp3,clip 3,,,
MA,P15MA,IW - P15MA clip 4.wav.mp3,clip 4,,,
MA,P15MA,IW - P15MA clip 5.wav.mp3,clip 5,,,
MA,P15MA,IW - P15MA clip 6.wav.mp3,clip 6,,,
MA,P15MA,IW - P15MA clip 7.wav.mp3,clip 7,,,
MA,P15MA,IW - P15MA clip 8.wav.mp3,clip 8,,,
MA,P15MA,IW - P15MA clip 9.wav.mp3,clip 9,,,
ME,P15ME,IW-P15ME clip 1.wav.mp3,clip 1,,,
ME,P15ME,IW-P15ME clip 10.wav.mp3,clip 10,,,
ME,P15ME,IW-P15ME clip 11.wav.mp3,clip 11,,,
ME,P15ME,IW-P15ME clip 12.wav.mp3,clip 12,,,
ME,P15ME,IW-P15ME clip 13.wav.mp3,clip 13,,,
ME,P15ME,IW-P15ME clip 14.wav.mp3,clip 14,,,
ME,P15ME,IW-P15ME clip 15.wav.mp3,clip 15,,,
ME,P15ME,IW-P15ME clip 16.wav.mp3,clip 16,,,
ME,P15ME,IW-P15ME clip 17.wav.mp3,clip 17,,,
ME,P15ME,IW-P15ME clip 18.wav.mp3,clip 18,,,
ME,P15ME,IW-P15ME clip 2.wav.mp3,clip 2,,,
ME,P15ME,IW-P15ME clip 3.wav.mp3,clip 3,,,
ME,P15ME,IW-P15ME clip 4.wav.mp3,clip 4,,,
ME,P15ME,IW-P15ME clip 5.wav.mp3,clip 5,,,
ME,P15ME,IW-P15ME clip 6.wav.mp3,clip 6,,,
ME,P15ME,IW-P15ME clip 7.wav.mp3,clip 7,,,
ME,P15ME,IW-P15ME clip 8.wav.mp3,clip 8,,,
ME,P15ME,IW-P15ME clip 9.wav.mp3,clip 9,,,
VA,P15VA,IW - P15VA clip 1.wav.mp3,clip 1,,,
VA,P15VA,IW - P15VA clip 10.wav.mp3,clip 10,,,
VA,P15VA,IW - P15VA clip 11.wav.mp3,clip 11,,,
VA,P15VA,IW - P15VA clip 12.wav.mp3,clip 12,,,
VA,P15VA,IW - P15VA clip 13.wav.mp3,clip 13,,,
VA,P15VA,IW - P15VA clip 2.wav.mp3,clip 2,,,
VA,P15VA,IW - P15VA clip 3.wav.mp3,clip 3,,,
VA,P15VA,IW - P15VA clip 4.wav.mp3,clip 4,,,
VA,P15VA,IW - P15VA clip 5.wav.mp3,clip 5,,,
VA,P15VA,IW - P15VA clip 6.wav.mp3,clip 6,,,
VA,P15VA,IW - P15VA clip 7.wav.mp3,clip 7,,,
VA,P15VA,IW - P15VA clip 8.wav.mp3,clip 8,,,
VA,P15VA,IW - P15VA clip 9.wav.mp3,clip 9,,,
BO,P16BO,IW - P16BO clip 1.wav.mp3,clip 1,,,
BO,P16BO,IW - P16BO clip 10.wav.mp3,clip 10,,,
BO,P16BO,IW - P16BO clip 2.wav.mp3,clip 2,,,
BO,P16BO,IW - P16BO clip 3.wav.mp3,clip 3,,,
BO,P16BO,IW - P16BO clip 4.wav.mp3,clip 4,,,
BO,P16BO,IW - P16BO clip 5.wav.mp3,clip 5,,,
BO,P16BO,IW - P16BO clip 6.wav.mp3,clip 6,,,
BO,P16BO,IW - P16BO clip 7.wav.mp3,clip 7,,,
BO,P16BO,IW - P16BO clip 8.wav.mp3,clip 8,,,
BO,P16BO,IW - P16BO clip 9.wav.mp3,clip 9,,,
CA,P16CA,IW - P16CA - clip 1.wav.mp3,clip 1,,,
CA,P16CA,IW - P16CA - clip 2.wav.mp3,clip 2,,,
CA,P16CA,IW - P16CA - clip 3.wav.mp3,clip 3,,,
CA,P16CA,IW - P16CA - clip 4.wav.mp3,clip 4,,,
CA,P16CA,IW - P16CA - clip 5.wav.mp3,clip 5,,,
CA,P16CA,IW - P16CA - clip 6.wav.mp3,clip 6,,,
CA,P16CA,IW - P16CA - clip 7.wav.mp3,clip 7,,,
CA,P16CA,IW - P16CA - clip 8.wav.mp3,clip 8,,,
MA,P16MA,IW - P16MA clip 1.wav.mp3,clip 1,,,
MA,P16MA,IW - P16MA clip 10.wav.mp3,clip 10,,,
MA,P16MA,IW - P16MA clip 11.wav.mp3,clip 11,,,
MA,P16MA,IW - P16MA clip 12.wav.mp3,clip 12,,,
MA,P16MA,IW - P16MA clip 13.wav.mp3,clip 13,,,
MA,P16MA,IW - P16MA clip 14.wav.mp3,clip 14,,,
MA,P16MA,IW - P16MA clip 2.wav.mp3,clip 2,,,
MA,P16MA,IW - P16MA clip 3.wav.mp3,clip 3,,,
MA,P16MA,IW - P16MA clip 4.wav.mp3,clip 4,,,
MA,P16MA,IW - P16MA clip 5.wav.mp3,clip 5,,,
MA,P16MA,IW - P16MA clip 6.wav.mp3,clip 6,,,
MA,P16MA,IW - P16MA clip 7.wav.mp3,clip 7,,,
MA,P16MA,IW - P16MA clip 8.wav.mp3,clip 8,,,
MA,P16MA,IW - P16MA clip 9.wav.mp3,clip 9,,,
ME,P16ME,IW-P16ME clip 1.wav.mp3,clip 1,,,
ME,P16ME,IW-P16ME clip 10.wav.mp3,clip 10,,,
ME,P16ME,IW-P16ME clip 11.wav.mp3,clip 11,,,
ME,P16ME,IW-P16ME clip 12.wav.mp3,clip 12,,,
ME,P16ME,IW-P16ME clip 13.wav.mp3,clip 13,,,
ME,P16ME,IW-P16ME clip 14.wav.mp3,clip 14,,,
ME,P16ME,IW-P16ME clip 2.wav.mp3,clip 2,,,
ME,P16ME,IW-P16ME clip 3.wav.mp3,clip 3,,,
ME,P16ME,IW-P16ME clip 4.wav.mp3,clip 4,,,
ME,P16ME,IW-P16ME clip 5.wav.mp3,clip 5,,,
ME,P16ME,IW-P16ME clip 6.wav.mp3,clip 6,,,
ME,P16ME,IW-P16ME clip 7.wav.mp3,clip 7,,,
ME,P16ME,IW-P16ME clip 8.wav.mp3,clip 8,,,
ME,P16ME,IW-P16ME clip 9.wav.mp3,clip 9,,,
BO,P17BO,IW - P17BO clip 1.wav.mp3,clip 1,,,
BO,P17BO,IW - P17BO clip 10.wav.mp3,clip 10,,,
BO,P17BO,IW - P17BO clip 2.wav.mp3,clip 2,,,
BO,P17BO,IW - P17BO clip 3.wav.mp3,clip 3,,,
BO,P17BO,IW - P17BO clip 4.wav.mp3,clip 4,,,
BO,P17BO,IW - P17BO clip 5.wav.mp3,clip 5,,,
BO,P17BO,IW - P17BO clip 6.wav.mp3,clip 6,,,
BO,P17BO,IW - P17BO clip 7.wav.mp3,clip 7,,,
BO,P17BO,IW - P17BO clip 8.wav.mp3,clip 8,,,
BO,P17BO,IW - P17BO clip 9.wav.mp3,clip 9,,,
CA,P17CA,IW - P17CA - clip 1.wav.mp3,clip 1,,,
CA,P17CA,IW - P17CA - clip 2.wav.mp3,clip 2,,,
CA,P17CA,IW - P17CA - clip 3.wav.mp3,clip 3,,,
CA,P17CA,IW - P17CA - clip 4.wav.mp3,clip 4,,,
CA,P17CA,IW - P17CA - clip 5.wav.mp3,clip 5,,,
CA,P17CA,IW - P17CA - clip 6.wav.mp3,clip 6,,,
CA,P17CA,IW - P17CA - clip 7.wav.mp3,clip 7,,,
CA,P17CA,IW - P17CA - clip 8.wav.mp3,clip 8,,,
MA,P17MA,IW - P17MA clip 1.wav.mp3,clip 1,,,
MA,P17MA,IW - P17MA clip 10.wav.mp3,clip 10,,,
MA,P17MA,IW - P17MA clip 11.wav.mp3,clip 11,,,
MA,P17MA,IW - P17MA clip 12.wav.mp3,clip 12,,,
MA,P17MA,IW - P17MA clip 13.wav.mp3,clip 13,,,
MA,P17MA,IW - P17MA clip 14.wav.mp3,clip 14,,,
MA,P17MA,IW - P17MA clip 15.wav.mp3,clip 15,,,
MA,P17MA,IW - P17MA clip 2.wav.mp3,clip 2,,,
MA,P17MA,IW - P17MA clip 3.wav.mp3,clip 3,,,
MA,P17MA,IW - P17MA clip 4.wav.mp3,clip 4,,,
MA,P17MA,IW - P17MA clip 5.wav.mp3,clip 5,,,
MA,P17MA,IW - P17MA clip 6.wav.mp3,clip 6,,,
MA,P17MA,IW - P17MA clip 7.wav.mp3,clip 7,,,
MA,P17MA,IW - P17MA clip 8.wav.mp3,clip 8,,,
MA,P17MA,IW - P17MA clip 9.wav.mp3,clip 9,,,
BO,P18BO,IW - P18BO clip 1.wav.mp3,clip 1,,,
BO,P18BO,IW - P18BO clip 10.wav.mp3,clip 10,,,
BO,P18BO,IW - P18BO clip 11.wav.mp3,clip 11,,,
BO,P18BO,IW - P18BO clip 12.wav.mp3,clip 12,,,
BO,P18BO,IW - P18BO clip 13.wav.mp3,clip 13,,,
BO,P18BO,IW - P18BO clip 2.wav.mp3,clip 2,,,
BO,P18BO,IW - P18BO clip 3.wav.mp3,clip 3,,,
BO,P18BO,IW - P18BO clip 4.wav.mp3,clip 4,,,
BO,P18BO,IW - P18BO clip 5.wav.mp3,clip 5,,,
BO,P18BO,IW - P18BO clip 6.wav.mp3,clip 6,,,
BO,P18BO,IW - P18BO clip 7.wav.mp3,clip 7,,,
BO,P18BO,IW - P18BO clip 8.wav.mp3,clip 8,,,
BO,P18BO,IW - P18BO clip 9.wav.mp3,clip 9,,,
MA,P18MA,IW - P18MA clip 1.wav.mp3,clip 1,,,
MA,P18MA,IW - P18MA clip 10.wav.mp3,clip 10,,,
MA,P18MA,IW - P18MA clip 11.wav.mp3,clip 11,,,
MA,P18MA,IW - P18MA clip 12.wav.mp3,clip 12,,,
MA,P18MA,IW - P18MA clip 13.wav.mp3,clip 13,,,
MA,P18MA,IW - P18MA clip 14.wav.mp3,clip 14,,,
MA,P18MA,IW - P18MA clip 2.wav.mp3,clip 2,,,
MA,P18MA,IW - P18MA clip 3.wav.mp3,clip 3,,,
MA,P18MA,IW - P18MA clip 4.wav.mp3,clip 4,,,
MA,P18MA,IW - P18MA clip 5.wav.mp3,clip 5,,,
MA,P18MA,IW - P18MA clip 6.wav.mp3,clip 6,,,
MA,P18MA,IW - P18MA clip 7.wav.mp3,clip 7,,,
MA,P18MA,IW - P18MA clip 8.wav.mp3,clip 8,,,
MA,P18MA,IW - P18MA clip 9.wav.mp3,clip 9,,,
BO,P19BO,IW - P19BO clip 1.wav.mp3,clip 1,,,
BO,P19BO,IW - P19BO clip 10.wav.mp3,clip 10,,,
BO,P19BO,IW - P19BO clip 11.wav.mp3,clip 11,,,
BO,P19BO,IW - P19BO clip 12.wav.mp3,clip 12,,,
BO,P19BO,IW - P19BO clip 13.wav.mp3,clip 13,,,
BO,P19BO,IW - P19BO clip 14.wav.mp3,clip 14,,,
BO,P19BO,IW - P19BO clip 2.wav.mp3,clip 2,,,
BO,P19BO,IW - P19BO clip 3.wav.mp3,clip 3,,,
BO,P19BO,IW - P19BO clip 4.wav.mp3,clip 4,,,
BO,P19BO,IW - P19BO clip 5.wav.mp3,clip 5,,,
BO,P19BO,IW - P19BO clip 6.wav.mp3,clip 6,,,
BO,P19BO,IW - P19BO clip 7.wav.mp3,clip 7,,,
BO,P19BO,IW - P19BO clip 8.wav.mp3,clip 8,,,
BO,P19BO,IW - P19BO clip 9.wav.mp3,clip 9,,,
MA,P19MA,IW - P19MA clip 1.wav.mp3,clip 1,,,
MA,P19MA,IW - P19MA clip 10.wav.mp3,clip 10,,,
MA,P19MA,IW - P19MA clip 11.wav.mp3,clip 11,,,
MA,P19MA,IW - P19MA clip 12.wav.mp3,clip 12,,,
MA,P19MA,IW - P19MA clip 2.wav.mp3,clip 2,,,
MA,P19MA,IW - P19MA clip 3.wav.mp3,clip 3,,,
MA,P19MA,IW - P19MA clip 4.wav.mp3,clip 4,,,
MA,P19MA,IW - P19MA clip 5.wav.mp3,clip 5,,,
MA,P19MA,IW - P19MA clip 6.wav.mp3,clip 6,,,
MA,P19MA,IW - P19MA clip 7.wav.mp3,clip 7,,,
MA,P19MA,IW - P19MA clip 8.wav.mp3,clip 8,,,
MA,P19MA,IW - P19MA clip 9.wav.mp3,clip 9,,,
BO,P1BO,IW-P1BO clip 1.wav.mp3,clip 1,,,
BO,P1BO,IW-P1BO clip 10.wav.mp3,clip 10,,,
BO,P1BO,IW-P1BO clip 11.wav.mp3,clip 11,,,
BO,P1BO,IW-P1BO clip 12.wav.mp3,clip 12,,,
BO,P1BO,IW-P1BO clip 13.wav.mp3,clip 13,,,
BO,P1BO,IW-P1BO clip 2.wav.mp3,clip 2,,,
BO,P1BO,IW-P1BO clip 3.wav.mp3,clip 3,,,
BO,P1BO,IW-P1BO clip 4.wav.mp3,clip 4,,,
BO,P1BO,IW-P1BO clip 5.wav.mp3,clip 5,,,
BO,P1BO,IW-P1BO clip 6.wav.mp3,clip 6,,,
BO,P1BO,IW-P1BO clip 7.wav.mp3,clip 7,,,
BO,P1BO,IW-P1BO clip 8.wav.mp3,clip 8,,,
BO,P1BO,IW-P1BO clip 9.wav.mp3,clip 9,,,
CA,P1CA,IW - P1CA - clip 1.wav.mp3,clip 1,,,
CA,P1CA,IW - P1CA - clip 2.wav.mp3,clip 2,,,
CA,P1CA,IW - P1CA - clip 3.wav.mp3,clip 3,,,
CA,P1CA,IW - P1CA - clip 4.wav.mp3,clip 4,,,
CA,P1CA,IW - P1CA - clip 5.wav.mp3,clip 5,,,
CA,P1CA,IW - P1CA - clip 6.wav.mp3,clip 6,,,
CA,P1CA,IW - P1CA - clip 7.wav.mp3,clip 7,,,
CA,P1CA,IW - P1CA - clip 8.wav.mp3,clip 8,,,
CA,P1CA,IW - P1CA - clip 9.wav.mp3,clip 9,,,
CL,P1CL,IW-P1CL clip 1.wav.mp3,clip 1,,,
CL,P1CL,IW-P1CL clip 10.wav.mp3,clip 10,,,
CL,P1CL,IW-P1CL clip 11.wav.mp3,clip 11,,,
CL,P1CL,IW-P1CL clip 12.wav.mp3,clip 12,,,
CL,P1CL,IW-P1CL clip 13.wav.mp3,clip 13,,,
CL,P1CL,IW-P1CL clip 14.wav.mp3,clip 14,,,
CL,P1CL,IW-P1CL clip 2.wav.mp3,clip 2,,,
CL,P1CL,IW-P1CL clip 3.wav.mp3,clip 3,,,
CL,P1CL,IW-P1CL clip 4.wav.mp3,clip 4,,,
CL,P1CL,IW-P1CL clip 5.wav.mp3,clip 5,,,
CL,P1CL,IW-P1CL clip 6.wav.mp3,clip 6,,,
CL,P1CL,IW-P1CL clip 7.wav.mp3,clip 7,,,
CL,P1CL,IW-P1CL clip 8.wav.mp3,clip 8,,,
CL,P1CL,IW-P1CL clip 9.wav.mp3,clip 9,,,
MA,P1MA,IW - P1MA clip 1 .wav.mp3,clip 1,,,
MA,P1MA,IW - P1MA clip 10.wav.mp3,clip 10,,,
MA,P1MA,IW - P1MA clip 11.wav.mp3,clip 11,,,
MA,P1MA,IW - P1MA clip 12.wav.mp3,clip 12,,,
MA,P1MA,IW - P1MA clip 13.wav.mp3,clip 13,,,
MA,P1MA,IW - P1MA clip 14.wav.mp3,clip 14,,,
MA,P1MA,IW - P1MA clip 15.wav.mp3,clip 15,,,
MA,P1MA,IW - P1MA clip 2.wav.mp3,clip 2,,,
MA,P1MA,IW - P1MA clip 3.wav.mp3,clip 3,,,
MA,P1MA,IW - P1MA clip 4.wav.mp3,clip 4,,,
MA,P1MA,IW - P1MA clip 5.wav.mp3,clip 5,,,
MA,P1MA,IW - P1MA clip 6.wav.mp3,clip 6,,,
MA,P1MA,IW - P1MA clip 7.wav.mp3,clip 7,,,
MA,P1MA,IW - P1MA clip 8.wav.mp3,clip 8,,,
MA,P1MA,IW - P1MA clip 9.wav.mp3,clip 9,,,
ME,P1ME,IW - P1ME clip 1.wav.mp3,clip 1,,,
ME,P1ME,IW - P1ME clip 10.wav.mp3,clip 10,,,
ME,P1ME,IW - P1ME clip 11.wav.mp3,clip 11,,,
ME,P1ME,IW - P1ME clip 12.wav.mp3,clip 12,,,
ME,P1ME,IW - P1ME clip 13.wav.mp3,clip 13,,,
ME,P1ME,IW - P1ME clip 14.wav.mp3,clip 14,,,
ME,P1ME,IW - P1ME clip 15.wav.mp3,clip 15,,,
ME,P1ME,IW - P1ME clip 16.wav.mp3,clip 16,,,
ME,P1ME,IW - P1ME clip 17.wav.mp3,clip 17,,,
ME,P1ME,IW - P1ME clip 18.wav.mp3,clip 18,,,
ME,P1ME,IW - P1ME clip 19.wav.mp3,clip 19,,,
ME,P1ME,IW - P1ME clip 2.wav.mp3,clip 2,,,
ME,P1ME,IW - P1ME clip 20.wav.mp3,clip 20,,,
ME,P1ME,IW - P1ME clip 21.wav.mp3,clip 21,,,
ME,P1ME,IW - P1ME clip 22.wav.mp3,clip 22,,,
ME,P1ME,IW - P1ME clip 23.wav.mp3,clip 23,,,
ME,P1ME,IW - P1ME clip 24.wav.mp3,clip 24,,,
ME,P1ME,IW - P1ME clip 25.wav.mp3,clip 25,,,
ME,P1ME,IW - P1ME clip 26.wav.mp3,clip 26,,,
ME,P1ME,IW - P1ME clip 27.wav.mp3,clip 27,,,
ME,P1ME,IW - P1ME clip 28.wav.mp3,clip 28,,,
ME,P1ME,IW - P1ME clip 29.wav.mp3,clip 29,,,
ME,P1ME,IW - P1ME clip 3.wav.mp3,clip 3,,,
ME,P1ME,IW - P1ME clip 4.wav.mp3,clip 4,,,
ME,P1ME,IW - P1ME clip 5.wav.mp3,clip 5,,,
ME,P1ME,IW - P1ME clip 6.wav.mp3,clip 6,,,
ME,P1ME,IW - P1ME clip 7.wav.mp3,clip 7,,,
ME,P1ME,IW - P1ME clip 8.wav.mp3,clip 8,,,
ME,P1ME,IW - P1ME clip 9.wav.mp3,clip 9,,,
SM,P1SM,IW - P1SM clip 1.wav.mp3,clip 1,,,
SM,P1SM,IW - P1SM clip 2.wav.mp3,clip 2,,,
SM,P1SM,IW - P1SM clip 3.wav.mp3,clip 3,,,
SM,P1SM,IW - P1SM clip 4.wav.mp3,clip 4,,,
SM,P1SM,IW - P1SM clip 5.wav.mp3,clip 5,,,
SM,P1SM,IW - P1SM clip 6.wav.mp3,clip 6,,,
SM,P1SM,IW - P1SM clip 7.wav.mp3,clip 7,,,
VA,P1VA,IW - P1VA clip 1.wav.mp3,clip 1,,,
VA,P1VA,IW - P1VA clip 10.wav.mp3,clip 10,,,
VA,P1VA,IW - P1VA clip 2.wav.mp3,clip 2,,,
VA,P1VA,IW - P1VA clip 3.wav.mp3,clip 3,,,
VA,P1VA,IW - P1VA clip 4.wav.mp3,clip 4,,,
VA,P1VA,IW - P1VA clip 5.wav.mp3,clip 5,,,
VA,P1VA,IW - P1VA clip 6.wav.mp3,clip 6,,,
VA,P1VA,IW - P1VA clip 7.wav.mp3,clip 7,,,
VA,P1VA,IW - P1VA clip 8.wav.mp3,clip 8,,,
VA,P1VA,IW - P1VA clip 9.wav.mp3,clip 9,,,
MA,P20MA,IW - P20MA clip 1.wav.mp3,clip 1,,,
MA,P20MA,IW - P20MA clip 10.wav.mp3,clip 10,,,
MA,P20MA,IW - P20MA clip 11.wav.mp3,clip 11,,,
MA,P20MA,IW - P20MA clip 12.wav.mp3,clip 12,,,
MA,P20MA,IW - P20MA clip 13.wav.mp3,clip 13,,,
MA,P20MA,IW - P20MA clip 14.wav.mp3,clip 14,,,
MA,P20MA,IW - P20MA clip 2.wav.mp3,clip 2,,,
MA,P20MA,IW - P20MA clip 3.wav.mp3,clip 3,,,
MA,P20MA,IW - P20MA clip 4.wav.mp3,clip 4,,,
MA,P20MA,IW - P20MA clip 5.wav.mp3,clip 5,,,
MA,P20MA,IW - P20MA clip 6.wav.mp3,clip 6,,,
MA,P20MA,IW - P20MA clip 7.wav.mp3,clip 7,,,
MA,P20MA,IW - P20MA clip 8.wav.mp3,clip 8,,,
MA,P20MA,IW - P20MA clip 9.wav.mp3,clip 9,,,
BO,P2BO,IW-P2BO clip 1.wav.mp3,clip 1,,,
BO,P2BO,IW-P2BO clip 10.wav.mp3,clip 10,,,
BO,P2BO,IW-P2BO clip 11.wav.mp3,clip 11,,,
BO,P2BO,IW-P2BO clip 12.wav.mp3,clip 12,,,
BO,P2BO,IW-P2BO clip 13.wav.mp3,clip 13,,,
BO,P2BO,IW-P2BO clip 14.wav.mp3,clip 14,,,
BO,P2BO,IW-P2BO clip 15.wav.mp3,clip 15,,,
BO,P2BO,IW-P2BO clip 2.wav.mp3,clip 2,,,
BO,P2BO,IW-P2BO clip 3.wav.mp3,clip 3,,,
BO,P2BO,IW-P2BO clip 4.wav.mp3,clip 4,,,
BO,P2BO,IW-P2BO clip 5.wav.mp3,clip 5,,,
BO,P2BO,IW-P2BO clip 6.wav.mp3,clip 6,,,
BO,P2BO,IW-P2BO clip 7.wav.mp3,clip 7,,,
BO,P2BO,IW-P2BO clip 8.wav.mp3,clip 8,,,
BO,P2BO,IW-P2BO clip 9.wav.mp3,clip 9,,,
CA,P2CA,IW - P2CA - clip 1.wav.mp3,clip 1,,,
CA,P2CA,IW - P2CA - clip 10.wav.mp3,clip 10,,,
CA,P2CA,IW - P2CA - clip 11.wav.mp3,clip 11,,,
CA,P2CA,IW - P2CA - clip 12.wav.mp3,clip 12,,,
CA,P2CA,IW - P2CA - clip 2.wav.mp3,clip 2,,,
CA,P2CA,IW - P2CA - clip 3.wav.mp3,clip 3,,,
CA,P2CA,IW - P2CA - clip 4.wav.mp3,clip 4,,,
CA,P2CA,IW - P2CA - clip 5.wav.mp3,clip 5,,,
CA,P2CA,IW - P2CA - clip 6.wav.mp3,clip 6,,,
CA,P2CA,IW - P2CA - clip 7.wav.mp3,clip 7,,,
CA,P2CA,IW - P2CA - clip 8.wav.mp3,clip 8,,,
CA,P2CA,IW - P2CA - clip 9.wav.mp3,clip 9,,,
CL,P2CL,IW-P2CL clip 1.wav.mp3,clip 1,,,
CL,P2CL,IW-P2CL clip 10.wav.mp3,clip 10,,,
CL,P2CL,IW-P2CL clip 11.wav.mp3,clip 11,,,
CL,P2CL,IW-P2CL clip 12.wav.mp3,clip 12,,,
CL,P2CL,IW-P2CL clip 13.wav.mp3,clip 13,,,
CL,P2CL,IW-P2CL clip 14.wav.mp3,clip 14,,,
CL,P2CL,IW-P2CL clip 15.wav.mp3,clip 15,,,
CL,P2CL,IW-P2CL clip 16.wav.mp3,clip 16,,,
CL,P2CL,IW-P2CL clip 17.wav.mp3,clip 17,,,
CL,P2CL,IW-P2CL clip 2.wav.mp3,clip 2,,,
CL,P2CL,IW-P2CL clip 3.wav.mp3,clip 3,,,
CL,P2CL,IW-P2CL clip 4.wav.mp3,clip 4,,,
CL,P2CL,IW-P2CL clip 5.wav.mp3,clip 5,,,
CL,P2CL,IW-P2CL clip 6.wav.mp3,clip 6,,,
CL,P2CL,IW-P2CL clip 7.wav.mp3,clip 7,,,
CL,P2CL,IW-P2CL clip 8.wav.mp3,clip 8,,,
CL,P2CL,IW-P2CL clip 9.wav.mp3,clip 9,,,
MA,P2MA,IW - P2MA clip 1.wav.mp3,clip 1,,,
MA,P2MA,IW - P2MA clip 10.wav.mp3,clip 10,,,
MA,P2MA,IW - P2MA clip 11.wav.mp3,clip 11,,,
MA,P2MA,IW - P2MA clip 12.wav.mp3,clip 12,,,
MA,P2MA,IW - P2MA clip 13.wav.mp3,clip 13,,,
MA,P2MA,IW - P2MA clip 14.wav.mp3,clip 14,,,
MA,P2MA,IW - P2MA clip 15.wav.mp3,clip 15,,,
MA,P2MA,IW - P2MA clip 16.wav.mp3,clip 16,,,
MA,P2MA,IW - P2MA clip 2.wav.mp3,clip 2,,,
MA,P2MA,IW - P2MA clip 3.wav.mp3,clip 3,,,
MA,P2MA,IW - P2MA clip 4.wav.mp3,clip 4,,,
MA,P2MA,IW - P2MA clip 5.wav.mp3,clip 5,,,
MA,P2MA,IW - P2MA clip 6.wav.mp3,clip 6,,,
MA,P2MA,IW - P2MA clip 7.wav.mp3,clip 7,,,
MA,P2MA,IW - P2MA clip 8.wav.mp3,clip 8,,,
MA,P2MA,IW - P2MA clip 9.wav.mp3,clip 9,,,
ME,P2ME,IW - P2ME clip 1.wav.mp3,clip 1,,,
ME,P2ME,IW - P2ME clip 10.wav.mp3,clip 10,,,
ME,P2ME,IW - P2ME clip 11.wav.mp3,clip 11,,,
ME,P2ME,IW - P2ME clip 12.wav.mp3,clip 12,,,
ME,P2ME,IW - P2ME clip 13.wav.mp3,clip 13,,,
ME,P2ME,IW - P2ME clip 14.wav.mp3,clip 14,,,
ME,P2ME,IW - P2ME clip 15.wav.mp3,clip 15,,,
ME,P2ME,IW - P2ME clip 16.wav.mp3,clip 16,,,
ME,P2ME,IW - P2ME clip 17.wav.mp3,clip 17,,,
ME,P2ME,IW - P2ME clip 18.wav.mp3,clip 18,,,
ME,P2ME,IW - P2ME clip 19.wav.mp3,clip 19,,,
ME,P2ME,IW - P2ME clip 2.wav.mp3,clip 2,,,
ME,P2ME,IW - P2ME clip 20.wav.mp3,clip 20,,,
ME,P2ME,IW - P2ME clip 3.wav.mp3,clip 3,,,
ME,P2ME,IW - P2ME clip 4.wav.mp3,clip 4,,,
ME,P2ME,IW - P2ME clip 5.wav.mp3,clip 5,,,
ME,P2ME,IW - P2ME clip 6.wav.mp3,clip 6,,,
ME,P2ME,IW - P2ME clip 7.wav.mp3,clip 7,,,
ME,P2ME,IW - P2ME clip 8.wav.mp3,clip 8,,,
ME,P2ME,IW - P2ME clip 9.wav.mp3,clip 9,,,
SM,P2SM,IW - P2SM clip 1.wav.mp3,clip 1,,,
SM,P2SM,IW - P2SM clip 10.wav.mp3,clip 10,,,
SM,P2SM,IW - P2SM clip 2.wav.mp3,clip 2,,,
SM,P2SM,IW - P2SM clip 3.wav.mp3,clip 3,,,
SM,P2SM,IW - P2SM clip 4.wav.mp3,clip 4,,,
SM,P2SM,IW - P2SM clip 5.wav.mp3,clip 5,,,
SM,P2SM,IW - P2SM clip 6.wav.mp3,clip 6,,,
SM,P2SM,IW - P2SM clip 7.wav.mp3,clip 7,,,
SM,P2SM,IW - P2SM clip 8.wav.mp3,clip 8,,,
SM,P2SM,IW - P2SM clip 9.wav.mp3,clip 9,,,
VA,P2VA,IW - P2VA clip 1.wav.mp3,clip 1,,,
VA,P2VA,IW - P2VA clip 10.wav.mp3,clip 10,,,
VA,P2VA,IW - P2VA clip 2.wav.mp3,clip 2,,,
VA,P2VA,IW - P2VA clip 3.wav.mp3,clip 3,,,
VA,P2VA,IW - P2VA clip 4.wav.mp3,clip 4,,,
VA,P2VA,IW - P2VA clip 5.wav.mp3,clip 5,,,
VA,P2VA,IW - P2VA clip 6.wav.mp3,clip 6,,,
VA,P2VA,IW - P2VA clip 7.wav.mp3,clip 7,,,
